Date,Description,Debit,Credit,Balance
2026-07-01,PAYROLL DEPOSIT HOLLIS AND CO,,2150.00,4821.19
2026-07-01,"RENT - 14TH ST, UNIT 3B",2325.00,,2496.19
07/02/2026,TRADER JOES #482,86.41,,2409.78
07/02/2026,TRADER JOES #482,86.41,,2409.78
3 Jul 2026,BLUE BOTTLE COFFEE,4.35,,2405.43
2026-07-03,CLIPPER RELOAD,"1,000.00",,1405.43
2026-07-05,PG&E AUTOPAY,142.88,,1262.55

2026-07-06,SAFEWAY STORE 1102   ,129.95,,1132.60
07/07/2026,"PHO 88, OAKLAND",23.40,,1109.20
2026-07-08,ATM WITHDRAWAL,(60.00),,1049.20
2026-07-09,SPOTIFY USA,11.99,,1037.21
2026-07-10,,45.00,,992.21
2026-07-11,ACE HARDWARE,,18.29,1010.50
07/12/2026,ALASKA AIR 0272341882,412.60,,597.90
2026-07-13,VENMO FROM D. OKAFOR,,60.00,657.90
2026-07-14,WALGREENS #7781,32.10,,625.80
2026-07-15,PAYROLL DEPOSIT HOLLIS AND CO,,2150.00,2775.80
2026-07-16,BART FARE GATE,8.60,,2767.20
2026-07-17,"AMAZON MKTPL, US*2K4L9",,,2767.20
07/18/2026,BERKELEY BOWL,74.22,,2692.98
2026-07-19,COMCAST INTERNET,89.00,,2603.98
2026-07-20,TAQUERIA CINCO,18.75,,2585.23
2026-07-22,GYM MEMBERSHIP,45.00,,2540.23
2026-07-24,IKEA EMERYVILLE,236.14,,2304.09
07/25/2026,CITY WATER DEPT,54.30,,2249.79
2026-07-27,BOOKSHOP.ORG,41.80,,2207.99
2026-07-28,PARKING METER SF,2.75,,2205.24
2026-07-30,DENTAL CLEANING - COPAY,120.00,,2085.24
2026-07-31,INTEREST PAID,,0.42,2085.66
